status,employee,industry,manager,age
No growth,110,Retail,13,33
No growth,400,Food,9,13
Growth,100,Food,8,4
No growth,5,Retail,28,25
No growth,10,Services,15,64
No growth,4,Retail,20,20
No growth,190,Retail,12,8
No growth,360,Services,17,29
No growth,17,Services,30,29
Growth,5,Food,20,5
No growth,5,Retail,20,7
No growth,20,Retail,10,10
No growth,4,Retail,15,15
No growth,120,Services,35,50
No growth,41,Retail,20,16
Growth,12,Food,14,16
No growth,50,Food,5,14
No growth,7,Services,22,27
No growth,37,Retail,6,5
No growth,8,Food,4,5
No growth,200,Services,5,15
No growth,120,Services,10,25
No growth,4,Retail,7,19
No growth,6,Services,1,24
No growth,50,Services,20,21
No growth,100,Retail,40,24
No growth,80,Services,14,12
No growth,58,Services,10,20
No growth,10,Retail,10,12
Growth,25,Retail,18,16
No growth,5,Retail,5,5
No growth,90,Services,15,10
No growth,9,Services,22,20
No growth,7,Retail,4,56
No growth,10,Services,18,23
No growth,6,Retail,40,19
No growth,15,Retail,17,14
No growth,17,Retail,20,31
No growth,16,Services,10,9
No growth,20,Retail,10,11
No growth,200,Services,18,15
No growth,20,Food,10,11
No growth,13,Retail,1,4
No growth,16,Services,2,3
No growth,17,Services,16,17
No growth,25,Food,10,17
No growth,7,Services,46,19
No growth,15,Retail,3,18
No growth,20,Food,16,18
No growth,9,Services,8,3
No growth,10,Food,10,7
No growth,5,Retail,5,3
Growth,10,Food,6,7
No growth,5,Retail,24,18
No growth,5,Services,6,7
Growth,6,Food,20,10
No growth,100,Retail,8,9
No growth,30,Services,8,7
No growth,120,Retail,30,22
No growth,5,Services,23,24
No growth,9,Retail,20,13
No growth,300,Retail,15,16
No growth,20,Food,12,14
No growth,7,Services,12,5
No growth,25,Food,25,26
No growth,150,Food,15,30
No growth,98,Services,15,12
No growth,11,Retail,30,8
No growth,30,Services,13,14
No growth,13,Retail,30,18
No growth,16,Services,18,20
No growth,200,Services,5,12
No growth,30,Retail,47,25
No growth,8,Retail,10,10
No growth,28,Food,10,19
No growth,878,Retail,25,18
No growth,7,Food,15,16
No growth,7,Food,35,25
No growth,4,Retail,26,21
No growth,45,Retail,15,17
No growth,8,Retail,2,15
No growth,15,Retail,20,24
No growth,6,Services,4,6
No growth,15,Services,5,6
No growth,17,Food,20,14
No growth,9,Food,15,16
No growth,8,Retail,15,15
No growth,7,Retail,26,23
Growth,150,Services,16,17
No growth,19,Services,14,15
No growth,5,Services,24,23
No growth,600,Food,40,69
No growth,200,Retail,12,25
Growth,80,Food,16,17
No growth,14,Retail,15,22
No growth,5,Retail,20,27
No growth,31,Services,16,17
No growth,70,Services,20,22
No growth,5,Services,28,30
No growth,21,Food,22,11
No growth,200,Retail,4,3
No growth,27,Retail,20,16
No growth,100,Services,12,30
No growth,9,Food,26,13
No growth,6,Retail,30,15
No growth,15,Services,10,10
Growth,5,Retail,16,17
No growth,6,Retail,7,8
No growth,600,Retail,25,18
No growth,200,Services,20,21
No growth,20,Services,10,9
No growth,14,Retail,30,21
No growth,5,Food,15,17
No growth,11,Services,18,11
No growth,20,Food,15,16
No growth,15,Services,20,24
Growth,28,Food,3,5
No growth,5,Retail,10,10
No growth,430,Retail,8,9
No growth,53,Services,22,21
No growth,5,Services,10,31
No growth,8,Services,2,4
No growth,2,Services,47,25
Growth,250,Food,20,17
No growth,5,Retail,15,3
No growth,12,Services,7,13
No growth,62,Services,15,16
No growth,6,Retail,15,16
No growth,12,Services,6,18
No growth,3,Retail,20,9
No growth,7,Services,12,15
No growth,50,Retail,1,23
No growth,15,Services,20,5
No growth,20,Retail,7,15
No growth,150,Services,10,11
No growth,87,Services,26,24
No growth,40,Services,8,20
No growth,26,Retail,15,21
No growth,20,Services,15,11
No growth,20,Services,15,8
No growth,23,Retail,30,20
No growth,15,Services,13,23
No growth,100,Manufacturing,32,33
No growth,80,Services,2,27
No growth,100,Manufacturing,7,23
No growth,45,Services,19,8
No growth,23,Services,9,22
No growth,3500,Services,40,19
No growth,25,Retail,20,24
No growth,18,Services,11,12
No growth,250,Services,35,18
No growth,14,Services,20,13
Growth,55,Manufacturing,11,5
No growth,600,Services,25,3
No growth,110,Services,15,16
No growth,50,Services,20,24
No growth,12,Services,12,22
No growth,120,Manufacturing,31,22
Growth,100,Services,2,2
No growth,85,Services,30,16
No growth,25,Services,20,12
No growth,9,Services,8,23
No growth,160,Services,25,28
No growth,20,Services,14,15
No growth,80,Services,20,16
No growth,110,Manufacturing,20,36
No growth,20,Retail,6,14
No growth,6,Services,15,6
Growth,180,Manufacturing,19,9
No growth,7,Services,10,3
No growth,2,Services,5,12
No growth,20,Services,20,15
No growth,250,Retail,20,23
Growth,15,Manufacturing,22,17
No growth,1700,Manufacturing,23,24
No growth,15,Retail,24,25
No growth,183,Services,17,24
No growth,30,Services,15,12
No growth,70,Manufacturing,35,22
No growth,110,Services,19,14
No growth,12,Retail,20,16
No growth,15,Services,41,57
No growth,9,Services,16,22
No growth,16,Services,19,29
No growth,15,Services,16,17
Growth,50,Retail,40,20
No growth,45,Manufacturing,23,24
No growth,5,Retail,15,17
No growth,90,Services,25,24
No growth,5,Retail,7,8
No growth,174,Manufacturing,21,22
No growth,43,Retail,2,22
No growth,30,Services,20,16
No growth,5,Manufacturing,50,29
No growth,8,Services,20,5
No growth,10,Retail,15,19
No growth,60,Services,30,11
No growth,6,Retail,10,18
No growth,13,Retail,16,9
No growth,19,Retail,21,22
No growth,6,Services,20,19
No growth,10,Retail,11,12
No growth,11,Services,15,7
No growth,120,Services,4,5
No growth,550,Retail,25,19
No growth,25,Services,20,20
No growth,12,Services,20,11
No growth,5,Retail,15,12
No growth,64,Services,30,28
No growth,22,Services,9,9
Growth,22,Manufacturing,8,9
No growth,7,Services,30,7
No growth,20,Services,20,29
No growth,15,Services,23,12
Growth,274,Manufacturing,3,16
No growth,3,Retail,15,16
No growth,28,Services,25,26
No growth,380,Services,30,15
No growth,7,Services,13,15
Growth,400,Manufacturing,20,20
No growth,300,Retail,14,20
Growth,138,Manufacturing,19,9
Growth,36,Manufacturing,20,17
No growth,65,Retail,8,9
No growth,30,Services,23,24
No growth,12,Manufacturing,25,24
No growth,174,Services,25,23
No growth,35,Services,10,6
No growth,8,Services,26,27
No growth,150,Manufacturing,23,24
Growth,9,Retail,10,20
No growth,120,Services,20,44
No growth,125,Manufacturing,14,68
No growth,10,Services,5,5
No growth,7,Retail,27,28
No growth,157,Manufacturing,32,37
No growth,130,Manufacturing,25,21
Growth,38,Manufacturing,25,10
Growth,10,Manufacturing,4,6
No growth,78,Retail,25,15
No growth,25,Services,20,31
No growth,30,Services,27,23
No growth,5,Services,14,15
No growth,21,Services,31,31
No growth,26,Services,20,6
No growth,60,Services,43,33
No growth,13,Retail,15,16
No growth,6,Retail,30,21
No growth,21,Services,45,22
No growth,2,Manufacturing,23,22
No growth,32,Manufacturing,30,29
Growth,30,Manufacturing,15,8
No growth,30,Manufacturing,20,22
Growth,51,Retail,8,9
No growth,5,Services,24,15
No growth,17,Manufacturing,10,28
No growth,37,Services,21,23
Growth,39,Manufacturing,20,14
No growth,6,Services,21,22
No growth,5,Retail,20,22
No growth,23,Retail,21,16
No growth,14,Services,7,8
No growth,5,Services,7,11
No growth,16,Retail,30,19
No growth,16,Manufacturing,40,26
No growth,250,Retail,15,22
No growth,90,Retail,15,17
Growth,463,Manufacturing,11,15
Growth,80,Manufacturing,10,18
No growth,11,Services,27,28
No growth,4,Services,16,12
No growth,22,Manufacturing,23,22
No growth,5,Services,18,19
No growth,45,Services,10,8
No growth,30,Services,22,24
No growth,68,Services,9,10
No growth,10,Services,30,33
No growth,10,Services,25,14
No growth,23,Services,24,14
No growth,400,Retail,20,21
No growth,1,Manufacturing,30,31
No growth,31,Retail,12,6
Growth,175,Services,18,19
No growth,17,Retail,15,24
No growth,12,Retail,29,30
No growth,25,Retail,27,28
Growth,250,Manufacturing,15,15
No growth,5,Retail,19,17
No growth,82,Retail,23,24
No growth,180,Retail,18,24
No growth,72,Retail,11,29
Growth,190,Manufacturing,24,13
No growth,1,Services,27,30
Growth,250,Manufacturing,20,5
No growth,86,Manufacturing,25,31
No growth,39,Manufacturing,40,29
Growth,50,Manufacturing,15,16
No growth,150,Manufacturing,6,48
No growth,2,Retail,16,17
No growth,43,Services,30,24
No growth,5,Retail,40,22
No growth,55,Manufacturing,16,62
No growth,85,Retail,19,16
No growth,10,Retail,30,17
Growth,192,Manufacturing,7,3
No growth,8,Retail,15,15
Growth,202,Manufacturing,40,17
No growth,28,Services,10,11
No growth,15,Retail,32,22
Growth,250,Manufacturing,50,14
Growth,21,Manufacturing,31,15
Growth,120,Manufacturing,25,20
No growth,220,Services,16,42
Growth,150,Services,15,12
Growth,393,Manufacturing,25,20
Growth,74,Manufacturing,40,18
No growth,6,Retail,19,20
No growth,22,Manufacturing,15,31
No growth,95,Services,NA,9
Growth,130,Manufacturing,25,9
No growth,28,Services,40,5
No growth,145,Services,25,23
Growth,724,Manufacturing,10,9
Growth,17,Manufacturing,5,11
Growth,18,Manufacturing,20,14
No growth,350,Services,30,29
Growth,111,Manufacturing,10,18
No growth,52,Services,20,10
No growth,20,Manufacturing,29,27
No growth,10,Manufacturing,22,51
No growth,8,Services,36,16
No growth,70,Manufacturing,35,22
No growth,26,Services,30,29
No growth,7,Services,18,30
Growth,61,Manufacturing,40,14
Growth,87,Manufacturing,18,19
No growth,15,Services,6,22
No growth,570,Manufacturing,25,25
No growth,5,Services,6,7
Growth,7,Manufacturing,38,19
Growth,80,Manufacturing,20,8
Growth,218,Manufacturing,12,13
Growth,6,Manufacturing,2,6
Growth,16,Manufacturing,7,8
No growth,5,Services,45,25
No growth,3,Retail,4,26
No growth,7,Services,14,29
No growth,40,Manufacturing,10,31
Growth,24,Retail,30,16
No growth,60,Food,15,16
No growth,9,Services,20,19
No growth,90,Food,25,84
No growth,6,Retail,19,15
No growth,25,Retail,20,7
No growth,7,Retail,25,16
No growth,10,Services,25,13
No growth,16,Services,5,12
No growth,16,Services,20,25
No growth,32,Services,11,12
No growth,6,Food,25,26
No growth,5,Services,20,22
No growth,10,Technology,5,49
No growth,70,Services,20,18
No growth,15,Technology,25,25
No growth,19,Services,10,6
Growth,16,Technology,25,12
Growth,108,Food,5,7
No growth,154,Services,25,10
No growth,5,Food,28,27
No growth,12,Retail,14,16
No growth,20,Retail,13,15
No growth,18,Food,20,21
Growth,196,Services,25,18
No growth,18,Services,22,19
No growth,7,Food,17,18
No growth,116,Food,10,26
No growth,9,Retail,22,21
No growth,280,Services,20,27
No growth,46,Food,20,21
No growth,33,Services,20,16
No growth,15,Retail,30,15
No growth,22,Services,27,22
No growth,142,Services,30,23
No growth,18,Technology,20,23
No growth,125,Technology,27,29
No growth,6,Services,17,18
No growth,12,Food,12,12
No growth,23,Food,14,14
No growth,16,Food,20,9
No growth,45,Services,20,23
No growth,105,Services,30,18
No growth,50,Food,20,15
No growth,8,Retail,5,6
Growth,109,Technology,10,20
No growth,90,Food,30,24
No growth,8,Food,14,15
No growth,834,Technology,25,94
No growth,5,Services,10,11
No growth,9,Retail,15,26
No growth,190,Services,27,28
Growth,72,Technology,6,20
No growth,7,Services,16,17
No growth,5,Services,10,11
No growth,23,Services,12,12
No growth,135,Retail,20,16
No growth,7,Retail,7,8
No growth,5,Services,8,10
No growth,39,Retail,20,21
No growth,5,Technology,40,23
No growth,5,Services,12,14
No growth,20,Technology,30,45
No growth,38,Retail,25,21
No growth,35,Retail,22,11
No growth,5,Retail,1,7
No growth,46,Services,25,28
No growth,18,Services,15,12
No growth,6,Food,30,26
No growth,43,Retail,10,12
No growth,180,Services,22,45
No growth,7,Food,50,19
No growth,8,Food,30,26
Growth,47,Retail,20,18
No growth,9,Services,25,22
No growth,8,Food,7,7
No growth,150,Food,30,31
No growth,23,Services,19,20
No growth,56,Food,7,8
No growth,9,Retail,24,25
No growth,10,Retail,20,28
No growth,6,Food,6,4
No growth,16,Services,11,15
No growth,6,Food,19,20
No growth,44,Food,8,10
No growth,7,Retail,23,24
No growth,30,Retail,26,27
No growth,138,Services,35,65
No growth,12,Food,15,13
No growth,26,Food,15,12
No growth,106,Retail,23,25
No growth,8,Retail,23,15
No growth,57,Services,11,12
No growth,37,Food,10,11
No growth,6,Food,20,7
Growth,25,Food,20,18
Growth,35,Food,10,11
Growth,148,Retail,11,12
No growth,5,Services,12,13
Growth,380,Food,10,11
No growth,13,Retail,20,18
Growth,28,Food,10,11
No growth,12,Retail,20,22
No growth,24,Services,16,27
No growth,150,Services,30,14
No growth,23,Services,1,29
No growth,55,Services,20,12
No growth,130,Services,13,17
No growth,16,Services,35,24
No growth,15,Services,50,28
Growth,17,Food,15,10
No growth,20,Retail,27,28
No growth,15,Services,15,12
No growth,10,Services,20,18
No growth,7,Services,20,14
No growth,18,Services,18,18
No growth,36,Technology,25,69
No growth,45,Food,20,26
No growth,20,Services,10,10
No growth,73,Services,20,19
No growth,90,Food,20,14
No growth,5,Food,22,23
No growth,500,Services,18,27
No growth,12,Retail,47,27
No growth,17,Services,15,12
No growth,100,Technology,18,56
No growth,225,Food,19,21
No growth,15,Technology,22,23
No growth,30,Services,23,10
No growth,14,Food,13,13
No growth,180,Food,15,16
No growth,6,Retail,14,15
No growth,50,Technology,20,29
No growth,13,Retail,15,13
Growth,118,Food,11,12
No growth,150,Retail,28,29
No growth,6,Food,10,11
Growth,154,Food,10,11
No growth,6,Food,7,5
Growth,200,Food,16,17
No growth,200,Retail,20,24
No growth,8,Retail,4,12
No growth,6,Retail,20,18
No growth,5,Food,10,10
No growth,5,Services,20,7
No growth,120,Technology,25,52
Growth,106,Services,20,15
No growth,200,Services,15,7
Growth,220,Food,15,14
No growth,695,Food,4,23
No growth,28,Services,25,16
No growth,96,Services,26,28
No growth,6,Retail,26,27
No growth,121,Technology,25,56
No growth,96,Services,24,25
No growth,10,Food,17,18
Growth,16,Food,13,14
Growth,128,Food,16,12
No growth,6,Services,15,22
No growth,6,Services,25,9
No growth,6,Retail,18,19
No growth,25,Services,30,25
No growth,8,Retail,10,10
No growth,52,Food,27,26
Growth,17,Food,30,17
Growth,19,Technology,13,13
Growth,46,Food,11,12
Growth,50,Technology,30,18
No growth,170,Services,20,17
No growth,130,Retail,19,9
No growth,29,Services,18,20
No growth,9,Retail,20,26
No growth,5,Services,11,12
No growth,115,Retail,30,28
Growth,18,Technology,25,16
No growth,23,Food,30,29
No growth,275,Food,23,22
No growth,16,Services,15,13
No growth,6,Retail,12,13
No growth,25,Services,27,28
No growth,120,Services,15,25
No growth,8,Services,20,18
Growth,6,Food,16,10
No growth,114,Services,42,21
No growth,15,Retail,10,11
No growth,7,Services,18,19
No growth,50,Services,23,24
No growth,5,Services,10,11
No growth,6,Services,5,10
No growth,18,Food,17,18
No growth,470,Technology,40,28
No growth,70,Services,17,28
No growth,22,Food,17,18
No growth,40,Technology,35,26
No growth,11,Services,39,26
No growth,337,Services,20,22
No growth,26,Retail,18,19
No growth,12,Services,12,13
No growth,145,Food,25,24
No growth,19,Retail,25,14
No growth,7,Services,9,10
No growth,5,Food,14,16
No growth,6,Food,9,10
No growth,204,Retail,17,18
No growth,5,Retail,19,20
Growth,165,Technology,15,16
No growth,78,Services,10,13
No growth,48,Retail,28,29
No growth,25,Retail,13,15
No growth,15,Retail,8,9
No growth,120,Services,18,8
Growth,25,Manufacturing,40,12
No growth,224,Retail,15,10
No growth,35,Manufacturing,40,23
No growth,47,Services,12,13
Growth,967,Retail,16,18
Growth,415,Manufacturing,35,7
Growth,100,Services,35,7
No growth,6,Retail,23,24
Growth,383,Retail,30,5
Growth,120,Manufacturing,18,20
Growth,161,Manufacturing,15,16
No growth,14,Services,35,7
No growth,32,Manufacturing,25,30
No growth,7,Services,26,29
No growth,5,Services,15,10
No growth,116,Services,9,26
Growth,180,Manufacturing,12,18
No growth,19,Services,25,9
No growth,53,Retail,22,30
Growth,198,Manufacturing,20,8
No growth,20,Manufacturing,24,25
No growth,380,Manufacturing,30,27
Growth,11,Manufacturing,12,11
No growth,30,Services,40,11
Growth,168,Retail,10,14
No growth,17,Services,45,29
No growth,13,Manufacturing,30,29
No growth,9,Manufacturing,50,32
No growth,31,Manufacturing,36,24
No growth,16,Retail,27,28
No growth,22,Services,1,29
No growth,8,Manufacturing,8,30
No growth,12,Manufacturing,33,22
No growth,4,Services,30,25
Growth,28,Manufacturing,20,14
No growth,96,Manufacturing,26,28
No growth,4,Services,40,30
No growth,319,Manufacturing,35,114
No growth,493,Services,35,30
No growth,31,Manufacturing,33,32
No growth,6,Retail,5,8
No growth,21,Retail,22,22
No growth,49,Retail,35,32
No growth,100,Manufacturing,12,28
No growth,5,Retail,15,9
Growth,210,Manufacturing,30,13
No growth,19,Manufacturing,7,31
No growth,6,Services,24,28
No growth,43,Manufacturing,35,29
Growth,12,Manufacturing,40,7
No growth,133,Manufacturing,30,36
No growth,9,Manufacturing,26,30
No growth,8,Services,25,20
No growth,6,Services,33,28
Growth,105,Services,25,6
No growth,80,Manufacturing,21,23
No growth,16,Services,25,21
No growth,21,Retail,40,30
No growth,35,Services,2,22
Growth,148,Manufacturing,10,14
No growth,42,Manufacturing,25,44
No growth,20,Services,27,26
No growth,12,Retail,25,26
Growth,24,Manufacturing,43,10
No growth,6,Retail,25,26
Growth,20,Manufacturing,20,7
Growth,53,Retail,15,4
No growth,8,Retail,5,29
No growth,138,Services,25,65
No growth,80,Services,20,24
No growth,110,Services,15,22
No growth,53,Manufacturing,19,27
No growth,6,Services,20,29
No growth,9,Manufacturing,10,27
No growth,102,Services,18,26
No growth,29,Services,20,26
No growth,48,Retail,23,11
No growth,6,Retail,40,23
No growth,55,Services,34,26
No growth,15,Services,30,21
Growth,193,Manufacturing,30,19
Growth,509,Manufacturing,16,19
No growth,840,Manufacturing,40,126
No growth,15,Manufacturing,30,30
No growth,50,Services,25,22
No growth,18,Services,25,26
No growth,279,Services,10,65
No growth,18,Retail,42,73
No growth,160,Services,34,30
No growth,22,Retail,30,30
No growth,54,Manufacturing,13,60
No growth,30,Retail,30,24
No growth,20,Services,24,25
No growth,15,Retail,26,27
No growth,15,Manufacturing,15,26
No growth,4,Services,25,9
No growth,8,Retail,24,24
No growth,220,Services,35,23
No growth,105,Services,27,28
No growth,8,Retail,20,21
No growth,10,Manufacturing,40,55
No growth,58,Services,7,40
No growth,20,Manufacturing,8,28
No growth,6,Services,25,26
No growth,59,Manufacturing,33,30
No growth,7,Services,40,27
No growth,80,Manufacturing,34,28
No growth,30,Manufacturing,25,27
No growth,93,Manufacturing,15,100
Growth,10,Manufacturing,40,15
No growth,20,Services,9,10
No growth,450,Manufacturing,40,28
No growth,17,Retail,15,25
Growth,360,Manufacturing,15,7
No growth,55,Services,30,30
No growth,6,Manufacturing,37,30
No growth,1470,Retail,30,24
Growth,107,Manufacturing,25,10
Growth,16,Manufacturing,43,19
No growth,301,Manufacturing,30,28
No growth,43,Services,22,17
Growth,122,Services,18,19
No growth,150,Services,30,25
No growth,3,Manufacturing,40,22
No growth,5,Manufacturing,20,27
No growth,5,Retail,40,21
No growth,285,Services,25,22
No growth,18,Retail,52,28
No growth,5,Retail,20,18
No growth,67,Services,40,23
No growth,483,Manufacturing,6,128
No growth,18,Manufacturing,45,26
No growth,236,Manufacturing,34,55
Growth,10,Manufacturing,27,8
Growth,194,Manufacturing,17,20
No growth,11,Services,15,7
No growth,12,Services,26,27
No growth,5,Retail,21,8
No growth,160,Manufacturing,29,30
No growth,270,Services,40,29
No growth,5,Services,5,6
No growth,224,Manufacturing,16,23
No growth,300,Manufacturing,35,29
Growth,105,Services,38,3
No growth,15,Services,30,15
No growth,10,Services,1,41
No growth,10,Retail,44,38
No growth,30,Retail,27,44
No growth,7,Retail,18,62
No growth,5,Services,14,31
No growth,5,Services,13,18
No growth,46,Services,30,34
No growth,380,Services,8,10
No growth,3,Manufacturing,22,24
No growth,110,Retail,10,18
No growth,1200,Retail,10,23
No growth,70,Retail,20,29
No growth,14,Manufacturing,34,42
No growth,400,Manufacturing,8,93
No growth,18,Services,36,16
No growth,3,Retail,20,22
No growth,5,Retail,39,40
No growth,190,Manufacturing,10,36
No growth,4,Retail,11,12
No growth,330,Services,35,37
No growth,6,Retail,5,20
No growth,30,Services,31,11
No growth,35,Manufacturing,20,22
No growth,27,Manufacturing,50,35
No growth,300,Manufacturing,30,98
No growth,3,Retail,30,28
No growth,5,Retail,41,43
No growth,110,Services,35,63
No growth,151,Manufacturing,42,35
No growth,60,Retail,30,55
No growth,16,Manufacturing,25,44
No growth,5,Retail,24,23
No growth,4,Retail,26,28
No growth,41,Manufacturing,2,50
No growth,65,Retail,6,19
No growth,2,Retail,36,36
No growth,16,Manufacturing,47,60
No growth,5,Retail,10,60
No growth,12,Services,30,33
No growth,5,Services,18,10
No growth,6,Manufacturing,35,37
No growth,15,Services,37,23
No growth,4,Services,33,35
No growth,50,Manufacturing,20,21
No growth,12,Manufacturing,3,65
No growth,31,Services,24,48
No growth,259,Services,41,42
No growth,5,Retail,15,10
No growth,8,Retail,38,53
No growth,24,Services,9,19
No growth,20,Manufacturing,3,31
No growth,7,Retail,37,39
No growth,38,Manufacturing,15,22
No growth,5,Retail,28,29
No growth,20,Services,29,30
No growth,93,Retail,33,54
No growth,20,Services,34,36
No growth,15,Services,20,19
No growth,12,Services,8,17
No growth,5,Services,30,22
No growth,6,Services,17,18
No growth,5,Services,40,39
No growth,6,Retail,25,27
No growth,10,Services,5,32
No growth,6,Services,40,42
No growth,3,Retail,23,25
No growth,130,Services,30,35
No growth,11,Manufacturing,30,36
No growth,130,Manufacturing,30,31
No growth,8,Services,20,25
Growth,21,Manufacturing,25,13
Growth,15,Manufacturing,30,15
No growth,37,Manufacturing,30,23
Growth,23,Manufacturing,40,8
No growth,10,Manufacturing,25,26
No growth,12,Services,17,9
No growth,11,Manufacturing,21,30
No growth,7,Manufacturing,40,30
Growth,8,Manufacturing,20,9
No growth,11,Retail,29,29
No growth,370,Manufacturing,45,135
Growth,85,Manufacturing,25,5
No growth,7,Manufacturing,20,27
Growth,6,Manufacturing,20,8
Growth,51,Manufacturing,25,17
